Transaction_Amount,Transaction_Time,User_Location,Merchant_Location,User_Age,Device_Type,Fraud_Label
380.7947176588889,21,Harare,Nairobi,41,Desktop,0
951.207163345817,16,Kampala,Luanda,53,Mobile,1
734.6740023932911,8,Harare,Harare,27,Tablet,0
602.6718993550662,0,Kigali,Johannesburg,15,Tablet,1
164.45845403801215,20,Tokyo,Addis Ababa,27,Desktop,1
164.43457513284062,19,Harare,Paris,28,Mobile,1
67.50277604651747,12,Harare,Addis Ababa,31,Mobile,0
867.5143843171858,15,Luanda,Harare,46,Mobile,1
605.1038616257767,12,Harare,Luanda,41,Desktop,0
710.9918520180851,13,Bujumbura,Dar es Salaam,50,Mobile,0
30.378649352844423,2,Dar es Salaam,Lagos,12,Desktop,1
970.2107536403744,5,Accra,Accra,37,Desktop,0
834.1182143924175,17,Dakar,London,19,Desktop,1
220.2157195714934,18,Lagos,New York,44,Tablet,1
190.00671753502962,4,Nairobi,Accra,38,Mobile,0
191.5704647548995,14,Dar es Salaam,Harare,24,Mobile,0
311.1998205299424,1,Addis Ababa,New York,42,Desktop,1
529.5088673159155,9,Accra,Paris,16,Desktop,1
437.62556845569463,23,Kigali,Kampala,21,Mobile,0
298.3168487960615,17,Kigali,Dakar,58,Desktop,0
615.7343657751557,12,Paris,Lagos,39,Mobile,1
148.09892204552142,4,London,Nairobi,30,Tablet,1
299.22320204986596,22,Harare,Nairobi,40,Desktop,0
372.6982248607548,23,Dar es Salaam,Harare,33,Mobile,0
461.50928437486556,0,Johannesburg,Accra,29,Desktop,0
787.3242017790834,21,Luanda,Nairobi,46,Mobile,0
207.67704433677613,0,Kampala,Paris,13,Mobile,1
519.0920940294754,17,Addis Ababa,London,37,Desktop,1
596.4904231734221,14,Kigali,Dar es Salaam,53,Tablet,0
55.98590859279775,16,Lagos,Addis Ababa,29,Mobile,0
611.4694033824239,10,Kigali,Bujumbura,33,Mobile,0
178.8188824504186,20,Nairobi,Paris,59,Mobile,1
74.40107705542673,21,Dakar,New York,58,Tablet,1
949.3966818807999,16,Kigali,Johannesburg,41,Tablet,1
965.9757127438138,12,Nairobi,Harare,50,Desktop,1
810.3133746352966,0,Dar es Salaam,Kampala,45,Tablet,1
311.56763148163697,1,Dar es Salaam,Dakar,43,Desktop,0
106.69539286632003,8,Luanda,Johannesburg,45,Desktop,0
687.3906962470353,2,London,Dakar,11,Tablet,1
445.7509688022053,0,Paris,Kigali,24,Desktop,1
130.81785249633106,20,Accra,Johannesburg,43,Tablet,0
500.2251410101575,15,Kigali,Bujumbura,45,Desktop,0
44.04463590406621,22,Lagos,Accra,15,Tablet,1
910.2271980579942,5,Kigali,Dar es Salaam,48,Tablet,1
266.1921817840167,16,Tokyo,Addis Ababa,51,Desktop,1
665.8970615104422,4,Paris,Addis Ababa,21,Mobile,1
318.59396532851684,4,New York,Dar es Salaam,12,Desktop,1
524.8673409660327,5,Lagos,London,54,Tablet,1
551.2431765498469,2,Bujumbura,Lagos,27,Mobile,0
193.00591097027177,20,Harare,Kigali,49,Desktop,0
969.888781486913,22,Accra,Dakar,30,Desktop,1
